original_name,source,suggested_cas,suggested_name,pubchem_cid,confidence,notes
"phthalic acid, dibutyl ester",PubChem_API,84-74-2,"dibutyl benzene-1,2-dicarboxylate",3026.0,High,Direct match from PubChem API.
Ciprofloxacin,PubChem_API,85721-33-1,1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,2764.0,High,Direct match from PubChem API.
"phthalicacid, dicyclobexyl ster",PubChem_API,,,,None,"Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/phthalicacid,%20dicyclobexyl%20ster/property/IUPACName/JSON"
Apomorphine-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Apomorphine-2/property/IUPACName/JSON
DEF,PubChem_API,78-48-8,1-bis(butylsulfanyl)phosphorylsulfanylbutane,5125.0,High,Direct match from PubChem API.
Scopolamine-2,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Scopolamine-2/property/IUPACName/JSON
chlorthion,PubChem_API,500-28-7,(3-chloro-4-nitrophenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane,10372.0,High,Direct match from PubChem API.
(13C34)-FB1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/(13C34)-FB1/property/IUPACName/JSON
Brodifacoum-1,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Brodifacoum-1/property/IUPACName/JSON
dimepiperate,PubChem_API,61432-55-1,S-(2-phenylpropan-2-yl) piperidine-1-carbothioate,91679.0,High,Direct match from PubChem API.
NIV,PubChem_API,,,440908.0,None,CAS Not Found
PFHpS,PubChem_API,375-92-8,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptane-1-sulfonic acid",67820.0,High,Direct match from PubChem API.
PFDoS,PubChem_API,79780-39-5,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-pentacosafluorododecane-1-sulfonic acid",3018866.0,High,Direct match from PubChem API.
thiofanox sulfone,PubChem_API,39184-59-3,"[(Z)-(3,3-dimethyl-1-methylsulfonylbutan-2-ylidene)amino] N-methylcarbamate",5491760.0,High,Direct match from PubChem API.
iodosulfuron-methyl,PubChem_API,144550-06-1,"methyl 4-iodo-2-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoylsulfamoyl]benzoate",11027582.0,High,Direct match from PubChem API.
M3HFPO,PubChem_API,,,,None,Error: 404 Client Error: PUGREST.NotFound for url: https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/M3HFPO/property/IUPACName/JSON
PFDoA,PubChem_API,307-55-1,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosafluorododecanoic acid",67545.0,High,Direct match from PubChem API.
dicapthon,PubChem_API,2463-84-5,(2-chloro-4-nitrophenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane,17168.0,High,Direct match from PubChem API.
isocarbamid,PubChem_API,30979-48-7,N-(2-methylpropyl)-2-oxoimidazolidine-1-carboxamide,35699.0,High,Direct match from PubChem API.
